rut_revisor,id_articulo
417848649,00019
728114592,00019
420961820,00019
789858659,00020
558135387,00020
385406649,00020
789858659,00021
729882186,00021
62834994,00021
626968279,00022
440185541,00022
385406649,00022
191580508,00023
655059121,00023
558135387,00023
728114592,00024
346762284,00024
385406649,00024
805125489,00025
626968279,00025
880916815,00025
978706983,00026
119779669,00026
543729337,00026
558135387,00027
655059121,00027
49331746,00027
308368386,00028
417848649,00028
67231139,00028
634882766,00029
119779669,00029
655059121,00029
382509196,00030
543729337,00030
789858659,00030
655059121,00031
978706983,00031
626968279,00031
346762284,00032
728114592,00032
417848649,00032
634882766,00033
709951165,00033
49331746,00033
655059121,00034
173802633,00034
709951165,00034
655854835,00035
274283858,00035
308368386,00035
67231139,00036
417848649,00036
87566862,00036
255957864,00037
191580508,00037
655854835,00037
255957864,00038
709951165,00038
626968279,00038
449215079,00039
558135387,00039
655059121,00039
191580508,00040
34397465,00040
728114592,00040
87566862,00041
255957864,00041
35546170K,00041
805125489,00042
34397465,00042
929392280,00042
110910088,00043
811473367,00043
34397465,00043
417848649,00044
634882766,00044
62834994,00044
729882186,00045
811473367,00045
35546170K,00045
382509196,00046
893309330,00046
929392280,00046
110910088,00047
34397465,00047
729882186,00047
591018779,00048
191580508,00048
44322016K,00048
420961820,00049
543729337,00049
655059121,00049
34397465,00050
591018779,00050
789858659,00050
173802633,00051
110910088,00051
44322016K,00051
420961820,00052
87566862,00052
407051483,00052
67231139,00053
274283858,00053
648754949,00053
655854835,00054
67231139,00054
44322016K,00054
35546170K,00055
449215079,00055
44322016K,00055
34397465,00056
255957864,00056
385406649,00056
131281447,00057
35546170K,00057
543729337,00057
655059121,00058
191580508,00058
634882766,00058
44322016K,00059
929392280,00059
729882186,00059
805125489,00060
255957864,00060
35546170K,00060
449215079,00061
388502053,00061
728114592,00061
382509196,00062
131281447,00062
929392280,00062
49331746,00063
558135387,00063
131281447,00063
87566862,00064
385406649,00064
893309330,00064
417848649,00065
255957864,00065
177196436,00065
34397465,00066
67231139,00066
44322016K,00066
407051483,00067
626968279,00067
35546170K,00067
811473367,00068
626968279,00068
34397465,00068
729882186,00069
811473367,00069
893309330,00069
191580508,00070
67231139,00070
729882186,00070
728114592,00071
308368386,00071
407051483,00071
388502053,00072
728114592,00072
449215079,00072
49331746,00073
789013241,00073
591018779,00073
591018779,00074
417848649,00074
978706983,00074
923514007,00075
173802633,00075
35546170K,00075
626968279,00076
191580508,00076
255957864,00076
634882766,00077
543729337,00077
119779669,00077
35546170K,00078
49331746,00078
34397465,00078
318139342,00079
655854835,00079
385406649,00079
655059121,00080
811473367,00080
407051483,00080
382509196,00081
558135387,00081
789858659,00081
648754949,00082
407051483,00082
131281447,00082
67231139,00083
177196436,00083
255957864,00083
923514007,00084
648754949,00084
385406649,00084
35546170K,00085
62834994,00085
923514007,00085
87566862,00086
119779669,00086
407051483,00086
860828308,00087
87566862,00087
728114592,00087
634882766,00088
978706983,00088
308368386,00088
49331746,00089
318139342,00089
177196436,00089
87566862,00090
62834994,00090
110910088,00090
728114592,00091
388502053,00091
449215079,00091
255957864,00092
978706983,00092
729882186,00092
729882186,00093
119779669,00093
420961820,00093
173802633,00094
929392280,00094
346762284,00094
709951165,00095
543729337,00095
728114592,00095
255957864,00096
35546170K,00096
626968279,00096
35546170K,00097
255957864,00097
789013241,00097
923514007,00098
34397465,00098
634882766,00098
255957864,00099
308368386,00099
648754949,00099
173802633,00100
385406649,00100
655854835,00100
49331746,00101
978706983,00101
929392280,00101
49331746,00102
978706983,00102
929392280,00102
860828308,00103
591018779,00103
191580508,00103
626968279,00104
110910088,00104
655059121,00104
173802633,00105
87566862,00105
346762284,00105
543729337,00106
655854835,00106
110910088,00106
729882186,00107
191580508,00107
655854835,00107
893309330,00108
119779669,00108
626968279,00108
626968279,00109
880916815,00109
789858659,00109
440185541,00110
119779669,00110
173802633,00110
893309330,00111
634882766,00111
728114592,00111
318139342,00112
543729337,00112
923514007,00112
929392280,00113
543729337,00113
893309330,00113
67231139,00114
44322016K,00114
417848649,00114
110910088,00115
591018779,00115
191580508,00115
789858659,00116
558135387,00116
860828308,00116
789013241,00117
626968279,00117
420961820,00117
62834994,00118
440185541,00118
417848649,00118
805125489,00119
407051483,00119
558135387,00119
119779669,00120
173802633,00120
318139342,00120
131281447,00121
923514007,00121
789858659,00121
789858659,00122
709951165,00122
543729337,00122
255957864,00123
35546170K,00123
789013241,00123
591018779,00124
173802633,00124
44322016K,00124
789858659,00125
978706983,00125
62834994,00125
346762284,00126
591018779,00126
634882766,00126
634882766,00127
255957864,00127
110910088,00127
648754949,00128
805125489,00128
634882766,00128
543729337,00129
440185541,00129
811473367,00129
131281447,00130
728114592,00130
789858659,00130
880916815,00131
709951165,00131
407051483,00131
729882186,00132
44322016K,00132
591018779,00132
308368386,00133
591018779,00133
655854835,00133
648754949,00134
67231139,00134
805125489,00134
417848649,00135
191580508,00135
558135387,00135
62834994,00136
255957864,00136
729882186,00136
789858659,00137
62834994,00137
805125489,00137
34397465,00138
591018779,00138
634882766,00138
449215079,00139
728114592,00139
388502053,00139
308368386,00140
407051483,00140
923514007,00140
49331746,00141
346762284,00141
543729337,00141
729882186,00142
385406649,00142
255957864,00142
729882186,00143
591018779,00143
67231139,00143
308368386,00144
558135387,00144
67231139,00144
923514007,00145
655854835,00145
35546170K,00145
648754949,00146
67231139,00146
417848649,00146
634882766,00147
655059121,00147
110910088,00147
543729337,00148
34397465,00148
274283858,00148
382509196,00149
49331746,00149
728114592,00149
655059121,00150
34397465,00150
62834994,00150
417848649,00151
382509196,00151
468820013,00151
626968279,00152
591018779,00152
44322016K,00152
110910088,00153
49331746,00153
709951165,00153
811473367,00154
729882186,00154
35546170K,00154
923514007,00155
87566862,00155
173802633,00155
543729337,00156
119779669,00156
634882766,00156
35546170K,00157
62834994,00157
119779669,00157
407051483,00158
346762284,00158
274283858,00158
543729337,00159
49331746,00159
655059121,00159
346762284,00160
929392280,00160
543729337,00160
591018779,00161
417848649,00161
191580508,00161
655059121,00162
119779669,00162
288869561,00162
880916815,00163
543729337,00163
626968279,00163
789013241,00164
35546170K,00164
805125489,00164
191580508,00165
110910088,00165
634882766,00165
420961820,00166
626968279,00166
591018779,00166
978706983,00167
626968279,00167
558135387,00167
729882186,00168
191580508,00168
420961820,00168
634882766,00169
728114592,00169
255957864,00169
591018779,00170
558135387,00170
34397465,00170
67231139,00171
655059121,00171
468820013,00171
318139342,00172
648754949,00172
87566862,00172
35546170K,00173
119779669,00173
255957864,00173
860828308,00174
558135387,00174
44322016K,00174
288869561,00175
728114592,00175
388502053,00175
655059121,00176
978706983,00176
440185541,00176
255957864,00177
655854835,00177
346762284,00177
978706983,00178
110910088,00178
558135387,00178
789858659,00179
543729337,00179
789013241,00179
655854835,00180
49331746,00180
274283858,00180
255957864,00181
729882186,00181
44322016K,00181
655059121,00182
648754949,00182
728114592,00182
929392280,00183
110910088,00183
49331746,00183
978706983,00184
110910088,00184
87566862,00184
648754949,00185
978706983,00185
318139342,00185
173802633,00186
923514007,00186
634882766,00186
288869561,00187
191580508,00187
789013241,00187
385406649,00188
729882186,00188
67231139,00188
255957864,00189
880916815,00189
709951165,00189
255957864,00190
388502053,00190
449215079,00190
407051483,00191
648754949,00191
346762284,00191
626968279,00192
34397465,00192
729882186,00192
255957864,00193
191580508,00193
634882766,00193
893309330,00194
634882766,00194
308368386,00194
35546170K,00195
929392280,00195
177196436,00195
191580508,00196
288869561,00196
417848649,00196
62834994,00197
811473367,00197
191580508,00197
860828308,00198
288869561,00198
978706983,00198
35546170K,00199
49331746,00199
407051483,00199
805125489,00200
274283858,00200
648754949,00200
648754949,00201
543729337,00201
44322016K,00201
417848649,00202
131281447,00202
274283858,00202
62834994,00203
67231139,00203
44322016K,00203
87566862,00204
177196436,00204
655854835,00204
35546170K,00205
34397465,00205
729882186,00205
929392280,00206
407051483,00206
274283858,00206
558135387,00207
543729337,00207
880916815,00207
62834994,00208
255957864,00208
805125489,00208
407051483,00209
626968279,00209
34397465,00209
44322016K,00210
407051483,00210
34397465,00210
655059121,00211
191580508,00211
288869561,00211
131281447,00212
789858659,00212
49331746,00212
34397465,00213
729882186,00213
407051483,00213
543729337,00214
119779669,00214
49331746,00214
191580508,00215
288869561,00215
655059121,00215
789858659,00216
173802633,00216
110910088,00216
173802633,00217
417848649,00217
929392280,00217
407051483,00218
648754949,00218
709951165,00218
255957864,00219
655059121,00219
191580508,00219
709951165,00220
860828308,00220
420961820,00220
274283858,00221
308368386,00221
407051483,00221
449215079,00222
728114592,00222
388502053,00222
288869561,00223
805125489,00223
634882766,00223
67231139,00224
805125489,00224
119779669,00224
543729337,00225
407051483,00225
119779669,00225
893309330,00226
34397465,00226
173802633,00226
558135387,00227
44322016K,00227
87566862,00227
709951165,00228
49331746,00228
543729337,00228
729882186,00229
34397465,00229
655854835,00229
49331746,00230
543729337,00230
655059121,00230
860828308,00231
978706983,00231
62834994,00231
119779669,00232
255957864,00232
789013241,00232
131281447,00233
789858659,00233
382509196,00233
709951165,00234
543729337,00234
110910088,00234
626968279,00235
407051483,00235
729882186,00235
655854835,00236
255957864,00236
634882766,00236
893309330,00237
417848649,00237
35546170K,00237
